time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-02 00:00:00+00:00,478,122,811,116
2022-02-03 00:00:00+00:00,277,101,507,120
2022-02-04 00:00:00+00:00,297,96,625,110
2022-02-05 00:00:00+00:00,158,76,329,76
2022-02-06 00:00:00+00:00,101,58,260,78
2022-02-07 00:00:00+00:00,200,95,784,143
2022-02-08 00:00:00+00:00,248,103,521,134
2022-02-09 00:00:00+00:00,189,83,452,119
2022-02-10 00:00:00+00:00,197,79,832,134
2022-02-11 00:00:00+00:00,212,86,535,107
2022-02-12 00:00:00+00:00,96,54,202,71
2022-02-13 00:00:00+00:00,104,62,251,89
2022-02-14 00:00:00+00:00,214,85,662,141
2022-02-15 00:00:00+00:00,354,104,977,127
