time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-11 00:00:00+00:00,407,111,855,100
2022-01-12 00:00:00+00:00,386,130,611,90
2022-01-13 00:00:00+00:00,403,124,639,99
2022-01-14 00:00:00+00:00,278,100,452,96
2022-01-15 00:00:00+00:00,232,86,180,58
2022-01-16 00:00:00+00:00,162,67,158,59
2022-01-17 00:00:00+00:00,150,79,409,96
2022-01-18 00:00:00+00:00,145,70,306,66
2022-01-19 00:00:00+00:00,370,116,737,100
2022-01-20 00:00:00+00:00,305,122,413,111
2022-01-21 00:00:00+00:00,226,90,294,82
2022-01-22 00:00:00+00:00,224,81,143,60
2022-01-23 00:00:00+00:00,224,86,197,74
2022-01-24 00:00:00+00:00,292,113,500,103
