time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-01 00:00:00+00:00,235,102,800,179
2022-03-02 00:00:00+00:00,349,111,638,153
2022-03-03 00:00:00+00:00,299,95,640,148
2022-03-04 00:00:00+00:00,204,65,472,122
2022-03-05 00:00:00+00:00,161,61,299,80
2022-03-06 00:00:00+00:00,111,57,212,77
2022-03-07 00:00:00+00:00,475,108,693,125
2022-03-08 00:00:00+00:00,357,102,728,123
2022-03-09 00:00:00+00:00,582,108,649,141
2022-03-10 00:00:00+00:00,487,103,729,140
2022-03-11 00:00:00+00:00,383,87,813,131
2022-03-12 00:00:00+00:00,118,71,193,62
2022-03-13 00:00:00+00:00,94,52,261,80
2022-03-14 00:00:00+00:00,179,78,627,123
