time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-28 00:00:00+00:00,238,85,174,49
2021-12-29 00:00:00+00:00,173,79,340,78
2021-12-30 00:00:00+00:00,168,86,258,63
2021-12-31 00:00:00+00:00,238,87,165,52
2022-01-01 00:00:00+00:00,129,71,94,41
2022-01-02 00:00:00+00:00,105,58,214,54
2022-01-03 00:00:00+00:00,199,69,560,84
2022-01-04 00:00:00+00:00,200,85,361,77
2022-01-05 00:00:00+00:00,294,79,582,98
2022-01-06 00:00:00+00:00,467,111,843,88
2022-01-07 00:00:00+00:00,425,102,524,101
2022-01-08 00:00:00+00:00,207,78,154,51
2022-01-09 00:00:00+00:00,188,84,183,52
2022-01-10 00:00:00+00:00,259,100,418,103
