time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-22 00:00:00+00:00,224,81,143,60
2022-01-23 00:00:00+00:00,224,86,197,74
2022-01-24 00:00:00+00:00,340,119,518,107
2022-01-25 00:00:00+00:00,445,151,847,112
2022-01-26 00:00:00+00:00,296,115,570,123
2022-01-27 00:00:00+00:00,568,132,710,139
2022-01-28 00:00:00+00:00,417,117,586,149
2022-01-29 00:00:00+00:00,241,89,133,53
2022-01-30 00:00:00+00:00,264,69,535,70
2022-01-31 00:00:00+00:00,332,116,420,90
2022-02-01 00:00:00+00:00,301,93,511,87
2022-02-02 00:00:00+00:00,478,122,811,116
2022-02-03 00:00:00+00:00,277,101,507,120
2022-02-04 00:00:00+00:00,279,92,617,106
