time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-27 00:00:00+00:00,568,132,,
2022-01-28 00:00:00+00:00,417,117,,
2022-01-29 00:00:00+00:00,241,89,,
2022-01-30 00:00:00+00:00,264,69,,
2022-01-31 00:00:00+00:00,332,116,,
2022-02-01 00:00:00+00:00,301,93,450.0,76.0
2022-02-02 00:00:00+00:00,478,122,811.0,116.0
2022-02-03 00:00:00+00:00,277,101,507.0,120.0
2022-02-04 00:00:00+00:00,297,96,625.0,110.0
2022-02-05 00:00:00+00:00,158,76,329.0,76.0
2022-02-06 00:00:00+00:00,101,58,260.0,78.0
2022-02-07 00:00:00+00:00,200,95,784.0,143.0
2022-02-08 00:00:00+00:00,248,103,104.0,47.0
2022-02-09 00:00:00+00:00,158,68,395.0,114.0
