time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-16 00:00:00+00:00,162,67,158,59
2022-01-17 00:00:00+00:00,150,79,409,96
2022-01-18 00:00:00+00:00,145,70,306,66
2022-01-19 00:00:00+00:00,370,116,737,100
2022-01-20 00:00:00+00:00,305,122,413,111
2022-01-21 00:00:00+00:00,226,90,294,82
2022-01-22 00:00:00+00:00,224,81,143,60
2022-01-23 00:00:00+00:00,224,86,197,74
2022-01-24 00:00:00+00:00,340,119,518,107
2022-01-25 00:00:00+00:00,445,151,847,112
2022-01-26 00:00:00+00:00,296,115,570,123
2022-01-27 00:00:00+00:00,568,132,710,139
2022-01-28 00:00:00+00:00,417,117,586,149
2022-01-29 00:00:00+00:00,224,87,123,49
