time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-19 00:00:00+00:00,234,91,183,55
2021-12-20 00:00:00+00:00,409,110,266,62
2021-12-21 00:00:00+00:00,373,102,239,65
2021-12-22 00:00:00+00:00,349,104,242,66
2021-12-23 00:00:00+00:00,555,114,254,53
2021-12-24 00:00:00+00:00,364,105,349,48
2021-12-25 00:00:00+00:00,298,91,141,48
2021-12-26 00:00:00+00:00,352,114,158,51
2021-12-27 00:00:00+00:00,214,88,241,69
2021-12-28 00:00:00+00:00,238,85,174,49
2021-12-29 00:00:00+00:00,173,79,340,78
2021-12-30 00:00:00+00:00,168,86,258,63
2021-12-31 00:00:00+00:00,238,87,165,52
2022-01-01 00:00:00+00:00,120,69,81,36
