time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-05 00:00:00+00:00,294,79,582,98
2022-01-06 00:00:00+00:00,467,111,843,88
2022-01-07 00:00:00+00:00,425,102,524,101
2022-01-08 00:00:00+00:00,207,78,154,51
2022-01-09 00:00:00+00:00,203,84,196,56
2022-01-10 00:00:00+00:00,277,101,427,107
2022-01-11 00:00:00+00:00,407,111,855,100
2022-01-12 00:00:00+00:00,386,130,611,90
2022-01-13 00:00:00+00:00,403,124,639,99
2022-01-14 00:00:00+00:00,278,100,452,96
2022-01-15 00:00:00+00:00,232,86,180,58
2022-01-16 00:00:00+00:00,162,67,158,59
2022-01-17 00:00:00+00:00,150,79,409,96
2022-01-18 00:00:00+00:00,135,64,300,62
