time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-16 00:00:00+00:00,386,78,565,99
2021-12-17 00:00:00+00:00,541,89,499,93
2021-12-18 00:00:00+00:00,266,88,204,59
2021-12-19 00:00:00+00:00,234,91,183,55
2021-12-20 00:00:00+00:00,409,110,266,62
2021-12-21 00:00:00+00:00,373,102,239,65
2021-12-22 00:00:00+00:00,349,104,242,66
2021-12-23 00:00:00+00:00,555,114,254,53
2021-12-24 00:00:00+00:00,364,105,349,48
2021-12-25 00:00:00+00:00,298,91,141,48
2021-12-26 00:00:00+00:00,352,114,158,51
2021-12-27 00:00:00+00:00,214,88,241,69
2021-12-28 00:00:00+00:00,238,85,174,49
2021-12-29 00:00:00+00:00,163,76,322,73
