time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-21 00:00:00+00:00,423,117,684,143
2022-02-22 00:00:00+00:00,370,118,579,131
2022-02-23 00:00:00+00:00,577,122,704,134
2022-02-24 00:00:00+00:00,513,114,672,111
2022-02-25 00:00:00+00:00,375,101,650,121
2022-02-26 00:00:00+00:00,228,78,273,105
2022-02-27 00:00:00+00:00,147,72,298,102
2022-02-28 00:00:00+00:00,164,84,582,140
2022-03-01 00:00:00+00:00,235,102,800,179
2022-03-02 00:00:00+00:00,349,111,638,153
2022-03-03 00:00:00+00:00,299,95,640,148
2022-03-04 00:00:00+00:00,204,65,472,122
2022-03-05 00:00:00+00:00,161,61,299,80
2022-03-06 00:00:00+00:00,98,51,185,71
