time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-08 00:00:00+00:00,248,103,521,134
2022-02-09 00:00:00+00:00,189,83,452,119
2022-02-10 00:00:00+00:00,197,79,832,134
2022-02-11 00:00:00+00:00,212,86,535,107
2022-02-12 00:00:00+00:00,96,54,202,71
2022-02-13 00:00:00+00:00,104,62,251,89
2022-02-14 00:00:00+00:00,214,85,662,141
2022-02-15 00:00:00+00:00,378,114,1022,136
2022-02-16 00:00:00+00:00,459,132,720,122
2022-02-17 00:00:00+00:00,576,125,1283,134
2022-02-18 00:00:00+00:00,495,122,770,131
2022-02-19 00:00:00+00:00,259,110,387,83
2022-02-20 00:00:00+00:00,232,101,286,86
2022-02-21 00:00:00+00:00,346,109,638,138
