time_iso8601,stars_cumulative
2021-05-16 00:00:00+00:00,243
2021-05-17 00:00:00+00:00,244
2021-05-20 00:00:00+00:00,245
2021-05-25 00:00:00+00:00,247
2021-05-28 00:00:00+00:00,248
2021-05-29 00:00:00+00:00,249
2021-06-01 00:00:00+00:00,250
2021-06-03 00:00:00+00:00,253
2021-06-04 00:00:00+00:00,255
2021-06-05 00:00:00+00:00,256
2021-06-07 00:00:00+00:00,257
2021-06-08 00:00:00+00:00,258
2021-06-09 00:00:00+00:00,261
2021-06-10 00:00:00+00:00,266
2021-06-11 00:00:00+00:00,268
2021-06-12 00:00:00+00:00,269
2021-06-14 00:00:00+00:00,270
2021-06-16 00:00:00+00:00,271
2021-06-17 00:00:00+00:00,272
2021-06-19 00:00:00+00:00,274
2021-06-20 00:00:00+00:00,275
2021-06-22 00:00:00+00:00,276
2021-06-23 00:00:00+00:00,278
2021-06-24 00:00:00+00:00,280
2021-06-26 00:00:00+00:00,281
2021-07-02 00:00:00+00:00,283
2021-07-03 00:00:00+00:00,284
2021-07-06 00:00:00+00:00,285
2021-07-08 00:00:00+00:00,286
2021-07-11 00:00:00+00:00,287
2021-07-13 00:00:00+00:00,288
2021-07-14 00:00:00+00:00,289
2021-07-15 00:00:00+00:00,290
2021-07-16 00:00:00+00:00,292
2021-07-17 00:00:00+00:00,293
2021-07-18 00:00:00+00:00,294
2021-07-19 00:00:00+00:00,295
2021-07-20 00:00:00+00:00,296
2021-07-23 00:00:00+00:00,297
2021-07-26 00:00:00+00:00,298
2021-07-27 00:00:00+00:00,300
2021-07-29 00:00:00+00:00,302
2021-08-01 00:00:00+00:00,303
2021-08-02 00:00:00+00:00,304
2021-08-03 00:00:00+00:00,306
2021-08-04 00:00:00+00:00,307
2021-08-05 00:00:00+00:00,308
2021-08-06 00:00:00+00:00,310
2021-08-09 00:00:00+00:00,311
2021-08-10 00:00:00+00:00,313
2021-08-11 00:00:00+00:00,315
2021-08-13 00:00:00+00:00,318
2021-08-15 00:00:00+00:00,319
2021-08-16 00:00:00+00:00,320
2021-08-17 00:00:00+00:00,321
2021-08-18 00:00:00+00:00,323
2021-08-19 00:00:00+00:00,324
2021-08-20 00:00:00+00:00,326
2021-08-21 00:00:00+00:00,328
2021-08-23 00:00:00+00:00,329
2021-08-25 00:00:00+00:00,330
2021-08-26 00:00:00+00:00,332
2021-08-27 00:00:00+00:00,333
2021-08-28 00:00:00+00:00,336
2021-08-29 00:00:00+00:00,337
2021-08-30 00:00:00+00:00,340
2021-08-31 00:00:00+00:00,342
2021-09-01 00:00:00+00:00,343
2021-09-02 00:00:00+00:00,346
2021-09-03 00:00:00+00:00,348
2021-09-06 00:00:00+00:00,349
2021-09-09 00:00:00+00:00,351
2021-09-12 00:00:00+00:00,352
2021-09-13 00:00:00+00:00,354
2021-09-15 00:00:00+00:00,356
2021-09-16 00:00:00+00:00,358
2021-09-17 00:00:00+00:00,362
2021-09-18 00:00:00+00:00,363
2021-09-21 00:00:00+00:00,364
2021-09-22 00:00:00+00:00,366
2021-09-24 00:00:00+00:00,368
2021-09-25 00:00:00+00:00,370
2021-09-26 00:00:00+00:00,372
2021-09-27 00:00:00+00:00,373
2021-09-28 00:00:00+00:00,375
2021-09-30 00:00:00+00:00,377
2021-10-01 00:00:00+00:00,379
2021-10-02 00:00:00+00:00,380
2021-10-03 00:00:00+00:00,383
2021-10-04 00:00:00+00:00,384
2021-10-05 00:00:00+00:00,386
2021-10-06 00:00:00+00:00,387
2021-10-08 00:00:00+00:00,388
2021-10-10 00:00:00+00:00,391
2021-10-11 00:00:00+00:00,392
2021-10-12 00:00:00+00:00,394
2021-10-13 00:00:00+00:00,397
2021-10-14 00:00:00+00:00,399
2021-10-15 00:00:00+00:00,401
2021-10-16 00:00:00+00:00,402
2021-10-17 00:00:00+00:00,405
2021-10-18 00:00:00+00:00,406
2021-10-19 00:00:00+00:00,407
2021-10-20 00:00:00+00:00,408
2021-10-22 00:00:00+00:00,409
2021-10-23 00:00:00+00:00,413
2021-10-24 00:00:00+00:00,414
2021-10-27 00:00:00+00:00,415
2021-10-28 00:00:00+00:00,417
2021-10-29 00:00:00+00:00,419
2021-10-30 00:00:00+00:00,420
2021-10-31 00:00:00+00:00,421
2021-11-01 00:00:00+00:00,423
2021-11-02 00:00:00+00:00,425
2021-11-03 00:00:00+00:00,428
2021-11-04 00:00:00+00:00,439
2021-11-05 00:00:00+00:00,447
2021-11-06 00:00:00+00:00,449
2021-11-07 00:00:00+00:00,450
2021-11-08 00:00:00+00:00,451
2021-11-09 00:00:00+00:00,452
2021-11-10 00:00:00+00:00,455
2021-11-11 00:00:00+00:00,456
2021-11-12 00:00:00+00:00,458
2021-11-13 00:00:00+00:00,459
2021-11-14 00:00:00+00:00,462
2021-11-18 00:00:00+00:00,464
2021-11-19 00:00:00+00:00,465
2021-11-20 00:00:00+00:00,466
2021-11-21 00:00:00+00:00,471
2021-11-22 00:00:00+00:00,473
2021-11-23 00:00:00+00:00,476
2021-11-24 00:00:00+00:00,478
2021-11-25 00:00:00+00:00,479
2021-11-27 00:00:00+00:00,480
2021-11-28 00:00:00+00:00,483
2021-11-29 00:00:00+00:00,484
2021-12-03 00:00:00+00:00,487
2021-12-04 00:00:00+00:00,488
2021-12-05 00:00:00+00:00,490
2021-12-06 00:00:00+00:00,494
2021-12-07 00:00:00+00:00,495
2021-12-08 00:00:00+00:00,496
2021-12-10 00:00:00+00:00,499
2021-12-11 00:00:00+00:00,502
2021-12-12 00:00:00+00:00,505
2021-12-14 00:00:00+00:00,506
2021-12-15 00:00:00+00:00,510
2021-12-16 00:00:00+00:00,511
2021-12-17 00:00:00+00:00,512
2021-12-18 00:00:00+00:00,515
2021-12-19 00:00:00+00:00,521
2021-12-20 00:00:00+00:00,522
2021-12-21 00:00:00+00:00,524
2021-12-22 00:00:00+00:00,525
2021-12-24 00:00:00+00:00,526
2021-12-25 00:00:00+00:00,529
2021-12-26 00:00:00+00:00,530
2021-12-27 00:00:00+00:00,533
2021-12-28 00:00:00+00:00,535
2021-12-29 00:00:00+00:00,536
2021-12-31 00:00:00+00:00,537
2022-01-01 00:00:00+00:00,540
2022-01-03 00:00:00+00:00,541
2022-01-04 00:00:00+00:00,543
2022-01-05 00:00:00+00:00,544
2022-01-06 00:00:00+00:00,547
2022-01-07 00:00:00+00:00,549
2022-01-08 00:00:00+00:00,551
2022-01-09 00:00:00+00:00,554
2022-01-10 00:00:00+00:00,558
2022-01-11 00:00:00+00:00,559
2022-01-12 00:00:00+00:00,563
2022-01-14 00:00:00+00:00,568
2022-01-16 00:00:00+00:00,573
2022-01-17 00:00:00+00:00,574
